Student_ID,First_Name,Last_Name,Age,Gender,Course,Enrollment_Date,Total_Payments,Full_Name,Enrollment_Year,Enrollment_Month,Payment_Tier,Gender_Encoded,Course_Cyber Security,Course_Data Analysis,Course_Data Science,Course_Machine Learning,Course_Web Development,Age_MinMax,Total_Payments_MinMax,Age_Scaled,Total_Payments_Scaled
501,Davis,Brown,25.0,M,Data Analysis,2022-03-18,20000.0,Davis Brown,2022,March,Medium,1,0,1,0,0,0,0.875,0.00524203375540396,1.6181445732203286,-0.4137764927201062
502,Anita,West,24.0,F,Data Science,2022-03-18,30000.0,Anita West,2022,March,Medium,0,0,0,1,0,0,0.75,0.007986554046191374,1.058354018160323,-0.39963670875294166
503,Olawale,Akintola,20.0,M,Web Development,2022-03-18,30000.0,Olawale Akintola,2022,March,Medium,1,0,0,0,0,1,0.25,0.007986554046191374,-1.1808082020796993,-0.39963670875294166
504,Wike,Akintola,25.0,M,Data Science,2022-03-18,36000.0,Wike Akintola,2022,March,Medium,1,0,0,1,0,0,0.875,0.009633266220663822,1.6181445732203286,-0.391152838372643
505,,Leke,21.0,M,Data Science,2022-03-18,40000.0, Leke,2022,March,Medium,1,0,0,1,0,0,0.375,0.010731074336978787,-0.6210176470196936,-0.38549692478577713
506,Ayodele,Unknown,18.0,F,Machine Learning,2022-03-18,37440.0,Ayodele Unknown,2022,March,Medium,0,0,0,0,1,0,0.0,0.01002847714253721,-2.30038931219971,-0.3891167094813713
507,,Unknown,25.0,M,Data Science,2022-03-18,37488.0, Unknown,2022,March,Medium,1,0,0,1,0,0,0.875,0.01004165083993299,1.6181445732203286,-0.3890488385183289
508,,Unknown,25.0,F,Data Science,2022-03-18,37497.6, Unknown,2022,March,Medium,0,0,0,1,0,0,0.875,0.010044285579412145,1.6181445732203286,-0.38903526432572044
509,,Unknown,22.0,M,Data Science,2022-03-18,1400.0, Unknown,2022,March,Medium,1,0,0,1,0,0,0.5,0.0001372260145393707,-0.061227091959688104,-0.4400764908990322
101,Ethan,Miller,22.0,M,Data Science,2022-05-15,1200.0,Ethan Miller,2022,May,Low,1,0,0,1,0,0,0.5,8.23356087236224e-05,-0.061227091959688104,-0.44035928657837553
102,Olivia,Johnson,24.0,F,Machine Learning,2022-03-18,1400.0,Olivia Johnson,2022,March,Medium,0,0,0,0,1,0,0.75,0.0001372260145393707,1.058354018160323,-0.4400764908990322
103,Noah,Williams,21.0,M,Data Science,2022-06-25,900.0,Noah Williams,2022,June,Low,1,0,0,1,0,0,0.375,0.0,-0.6210176470196936,-0.44078348009739043
104,Emma,Brown,23.0,F,Data Science,2022-03-18,1100.0,Emma Brown,2022,March,Low,0,0,0,1,0,0,0.625,5.489040581574823e-05,0.49856346310031746,-0.44050068441804713
105,Liam,Davis,20.0,M,Web Development,2021-09-10,950.0,Liam Davis,2021,September,Low,1,0,0,0,0,1,0.25,1.372260145393703e-05,-1.1808082020796993,-0.44071278117755464
106,Ava,Miller,25.0,F,Machine Learning,2022-04-22,1300.0,Ava Miller,2022,April,Medium,0,0,0,0,1,0,0.875,0.00010978081163149652,1.6181445732203286,-0.4402178887387039
107,William,Wilson,19.0,M,Data Science,2022-07-02,1000.0,William Wilson,2022,July,Low,1,0,0,1,0,0,0.125,2.7445202907874116e-05,-1.7405987571397048,-0.4406420822577188
108,Sophia,Taylor,22.0,F,Machine Learning,2022-08-15,1200.0,Sophia Taylor,2022,August,Low,0,0,0,0,1,0,0.5,8.23356087236224e-05,-0.061227091959688104,-0.44035928657837553
109,James,Anderson,24.0,M,Data Science,2022-01-10,950.0,James Anderson,2022,January,Low,1,0,0,1,0,0,0.75,1.372260145393703e-05,1.058354018160323,-0.44071278117755464
110,Isabella,Martinez,26.0,F,Data Science,2023-02-28,1150.0,Isabella Martinez,2023,February,Low,0,0,0,1,0,0,1.0,6.861300726968532e-05,2.177935128280334,-0.44042998549821133
500,Jackson,Murphy,21.0,M,Web Development,2023-06-05,1050.0,Jackson Murphy,2023,June,Low,1,0,0,0,0,1,0.375,4.11678043618112e-05,-0.6210176470196936,-0.440571383337883
510,Joseph,Williams,22.0,F,Machine Learning,2022-03-18,20000.0,Joseph Williams,2022,March,Medium,0,0,0,0,1,0,0.5,0.00524203375540396,-0.061227091959688104,-0.4137764927201062
511,Kylian,Eden,22.0,M,Machine Learning,2022-03-18,20000.0,Kylian Eden,2022,March,Medium,1,0,0,0,1,0,0.5,0.00524203375540396,-0.061227091959688104,-0.4137764927201062
512,Esther,Naomi,21.0,F,Machine Learning,2022-03-18,20000.0,Esther Naomi,2022,March,Medium,0,0,0,0,1,0,0.375,0.00524203375540396,-0.6210176470196936,-0.4137764927201062
513,Lay,Martin,22.0,M,Web Development,2022-03-18,20000.0,Lay Martin,2022,March,Medium,1,0,0,0,0,1,0.5,0.00524203375540396,-0.061227091959688104,-0.4137764927201062
514,Rock,Shy,23.0,M,Data Analysis,2022-03-18,1400.0,Rock Shy,2022,March,Medium,1,0,1,0,0,0,0.625,0.0001372260145393707,0.49856346310031746,-0.4400764908990322
144,Ethe,Miller,22.0,M,Data Science,2022-05-15,1200.0,Ethe Miller,2022,May,Low,1,0,0,1,0,0,0.5,8.23356087236224e-05,-0.061227091959688104,-0.44035928657837553
145,Olivian,Johnson,24.0,F,Machine Learning,2022-03-18,1400.0,Olivian Johnson,2022,March,Medium,0,0,0,0,1,0,0.75,0.0001372260145393707,1.058354018160323,-0.4400764908990322
146,Noah,Ray,21.0,M,Data Science,2022-06-25,900.0,Noah Ray,2022,June,Low,1,0,0,1,0,0,0.375,0.0,-0.6210176470196936,-0.44078348009739043
147,Emma,Brown,23.0,F,Data Science,2022-03-18,1100.0,Emma Brown,2022,March,Low,0,0,0,1,0,0,0.625,5.489040581574823e-05,0.49856346310031746,-0.44050068441804713
148,Liam,Davis,20.0,M,Web Development,2021-09-10,950.0,Liam Davis,2021,September,Low,1,0,0,0,0,1,0.25,1.372260145393703e-05,-1.1808082020796993,-0.44071278117755464
149,Ava,Miller,25.0,F,Machine Learning,2022-04-22,1300.0,Ava Miller,2022,April,Medium,0,0,0,0,1,0,0.875,0.00010978081163149652,1.6181445732203286,-0.4402178887387039
155,Benjamin,Thompson,20.0,M,Web Development,2022-11-14,1050.0,Benjamin Thompson,2022,November,Low,1,0,0,0,0,1,0.25,4.11678043618112e-05,-1.1808082020796993,-0.440571383337883
156,Mia,Hernandez,23.0,F,Machine Learning,2022-09-20,1350.0,Mia Hernandez,2022,September,Medium,0,0,0,0,1,0,0.625,0.0001235034130854336,0.49856346310031746,-0.440147189818868
157,Alexander,Davis,21.0,M,Data Science,2022-07-05,920.0,Alexander Davis,2022,July,Low,1,0,0,1,0,0,0.375,5.489040581574791e-06,-0.6210176470196936,-0.4407552005294561
114,Harper,Rodriguez,22.0,F,Data Science,2022-03-18,1120.0,Harper Rodriguez,2022,March,Low,0,0,0,1,0,0,0.5,6.0379446397323077e-05,-0.061227091959688104,-0.4404724048501128
115,Daniel,White,24.0,M,Web Development,2021-10-30,970.0,Daniel White,2021,October,Low,1,0,0,0,0,1,0.75,1.9211642035511876e-05,1.058354018160323,-0.4406845016096203
159,Emily,Murphy,21.0,F,Machine Learning,2023-08-02,1270.0,Emily Murphy,2023,August,Medium,0,0,0,0,1,0,0.375,0.00010154725075913428,-0.6210176470196936,-0.44026030809060535
102,Olivia,Rayay,24.0,F,Machine Learning,2022-03-18,1400.0,Olivia Rayay,2022,March,Medium,0,0,0,0,1,0,0.75,0.0001372260145393707,1.058354018160323,-0.4400764908990322
103,Noah,Rock,21.0,M,Data Science,2022-06-25,900.0,Noah Rock,2022,June,Low,1,0,0,1,0,0,0.375,0.0,-0.6210176470196936,-0.44078348009739043
111,May,Thompson,20.0,M,Web Development,2022-11-14,1050.0,May Thompson,2022,November,Low,1,0,0,0,0,1,0.25,4.11678043618112e-05,-1.1808082020796993,-0.440571383337883
112,Mia,Hernandez,23.0,F,Machine Learning,2022-09-20,1350.0,Mia Hernandez,2022,September,Medium,0,0,0,0,1,0,0.625,0.0001235034130854336,0.49856346310031746,-0.440147189818868
113,Alexander,Davis,21.0,M,Data Science,2022-07-05,920.0,Alexander Davis,2022,July,Low,1,0,0,1,0,0,0.375,5.489040581574791e-06,-0.6210176470196936,-0.4407552005294561
114,Harper,Rodriguez,22.0,F,Data Science,2022-03-18,1120.0,Harper Rodriguez,2022,March,Low,0,0,0,1,0,0,0.5,6.0379446397323077e-05,-0.061227091959688104,-0.4404724048501128
500,Emily,Murphy,21.0,F,Machine Learning,2023-08-02,1270.0,Emily Murphy,2023,August,Medium,0,0,0,0,1,0,0.375,0.00010154725075913428,-0.6210176470196936,-0.44026030809060535
515,Ben,Thompson,20.0,M,Web Development,2022-11-14,1050.0,Ben Thompson,2022,November,Low,1,0,0,0,0,1,0.25,4.11678043618112e-05,-1.1808082020796993,-0.440571383337883
516,Mia,Hernandez,23.0,F,Machine Learning,2022-09-20,1350.0,Mia Hernandez,2022,September,Medium,0,0,0,0,1,0,0.625,0.0001235034130854336,0.49856346310031746,-0.440147189818868
517,Alexander,Davis,21.0,M,Data Science,2022-07-05,920.0,Alexander Davis,2022,July,Low,1,0,0,1,0,0,0.375,5.489040581574791e-06,-0.6210176470196936,-0.4407552005294561
518,Adeniran,Omoshola,22.0,F,Data Analysis,2022-03-18,50000.0,Adeniran Omoshola,2022,March,Medium,0,0,1,0,0,0,0.5,0.013475594627766202,-0.061227091959688104,-0.37135714081861265
519,Iwueze,Olaoluwa,23.0,M,Data Analysis,2022-03-18,55000.0,Iwueze Olaoluwa,2022,March,Medium,1,0,1,0,0,0,0.625,0.014847854773159908,0.49856346310031746,-0.3642872488350304
520,Faramotu,Ismail,23.0,M,Data Analysis,2022-03-18,60500.0,Faramotu Ismail,2022,March,Medium,1,0,1,0,0,0,0.625,0.016357340933092983,0.49856346310031746,-0.35651036765308985
521,Ifarele,Adeola,23.0,M,Data Analysis,2022-03-18,66550.0,Ifarele Adeola,2022,March,High,1,0,1,0,0,0,0.625,0.01801777570901937,0.49856346310031746,-0.34795579835295537
522,Folorunsho,Dada,22.0,M,Web Development,2022-03-18,73205.0,Folorunsho Dada,2022,March,High,1,0,0,0,0,1,0.5,0.019844253962538392,-0.061227091959688104,-0.33854577212280734
523,Ikechukwu,Victor,22.0,M,Web Development,2022-03-18,80526.0,Ikechukwu Victor,2022,March,High,1,0,0,0,0,1,0.5,0.02185351726742386,-0.061227091959688104,-0.3281940362804462
524,Ahmed,Mohammed,23.0,F,Web Development,2022-03-18,88578.0,Ahmed Mohammed,2022,March,High,0,0,0,0,0,1,0.625,0.024063405005565884,0.49856346310031746,-0.31680868223008535
525,Binta,Sanni,22.0,F,Web Development,2022-03-18,97436.0,Binta Sanni,2022,March,High,0,0,0,0,0,1,0.5,0.026494501079145374,-0.061227091959688104,-0.304283661591971
526,Chukwu,Ike,22.0,M,Web Development,2022-03-18,107179.0,Chukwu Ike,2022,March,High,1,0,0,0,0,1,0.5,0.029168487198459554,-0.061227091959688104,-0.2905072700727626
527,Ola,Enioluwa,22.0,F,Machine Learning,2022-03-18,117897.0,Ola Enioluwa,2022,March,High,0,0,0,0,1,0,0.5,0.0321100640461255,-0.061227091959688104,-0.27535224961675564
528,Okafor,Chike,23.0,M,Data Analysis,2022-03-18,129687.0,Okafor Chike,2022,March,High,1,0,1,0,0,0,0.625,0.035345853468963864,0.49856346310031746,-0.2586814443194687
529,Chika,Nwosu,23.0,F,Data Analysis,2022-03-18,142656.0,Chika Nwosu,2022,March,High,0,0,1,0,0,0,0.625,0.03890522183408606,0.49856346310031746,-0.240343558492453
530,Eze,Chinedu,22.0,M,Data Analysis,2022-03-18,156921.0,Eze Chinedu,2022,March,High,1,0,1,0,0,0,0.5,0.042820280028894306,-0.061227091959688104,-0.22017315666329282
531,Adaobi,Ekeinde,23.0,M,Data Analysis,2022-03-18,172614.0,Adaobi Ekeinde,2022,March,High,1,0,1,0,0,0,0.625,0.047127255721226995,0.49856346310031746,-0.19798359368362153
532,Yusuf,Ibrahim,22.0,M,Cyber Security,2022-03-18,189875.0,Yusuf Ibrahim,2022,March,High,1,1,0,0,0,0,0.5,0.05186457219515515,-0.061227091959688104,-0.17357691257789884
533,Amaka,Azikiwe,23.0,M,Cyber Security,2022-03-18,208862.0,Amaka Azikiwe,2022,March,High,1,1,0,0,0,0,0.625,0.057075592871273215,0.49856346310031746,-0.14672970475944358
534,Onyeka,Okonkwo,23.0,F,Cyber Security,2022-03-18,229749.0,Onyeka Okonkwo,2022,March,High,0,1,0,0,0,0,0.625,0.06280807240264089,0.49856346310031746,-0.11719593798722704
535,Chioma,Adebayo,22.0,F,Cyber Security,2022-03-18,252724.0,Chioma Adebayo,2022,March,High,0,1,0,0,0,0,0.5,0.06911360777072498,-0.061227091959688104,-0.08470978432266654
536,Ifeanyi,Ekpo,22.0,F,Cyber Security,2022-03-18,277996.0,Ifeanyi Ekpo,2022,March,High,0,1,0,0,0,0,0.5,0.07604955944960293,-0.061227091959688104,-0.04897572228084835
537,Ngozi,Abubakar,20.0,F,Cyber Security,2022-03-18,305795.0,Ngozi Abubakar,2022,March,High,0,1,0,0,0,0,0.25,0.08367905140596285,-1.1808082020796993,-0.009668536830527692
538,Abdul,Nasiru,21.0,F,Cyber Security,2022-03-18,336375.0,Abdul Nasiru,2022,March,High,0,1,0,0,0,0,0.375,0.09207179445519077,-0.6210176470196936,0.03357092254106142
539,Zainab,Adeyemi,19.0,F,Cyber Security,2022-03-18,370012.0,Zainab Adeyemi,2022,March,High,0,1,0,0,0,0,0.125,0.10130353735731239,-1.7405987571397048,0.08113291387141273
540,Obinna,Onwuka,25.0,F,Data Analysis,2022-03-18,407014.0,Obinna Onwuka,2022,March,High,0,0,1,0,0,0,0.875,0.11145881133728398,1.6181445732203286,0.1334529425067149
541,Amina,Osagie,22.0,M,Data Analysis,2022-03-18,447715.0,Amina Osagie,2022,March,High,1,0,1,0,0,0,0.5,0.12262928337281784,-0.061227091959688104,0.19100327723147123
542,Chinonso,Uche,23.0,M,Data Analysis,2022-03-18,492487.0,Chinonso Uche,2022,March,High,1,0,1,0,0,0,0.625,0.13491704961873122,0.49856346310031746,0.2543099180092602
543,Femi,Abdullahi,22.0,M,Data Analysis,2022-03-18,541735.0,Femi Abdullahi,2022,March,High,1,0,1,0,0,0,0.5,0.14843326314680108,-0.061227091959688104,0.3239455260907521
544,Halima,Bakare,23.0,M,Data Analysis,2022-03-18,595909.0,Halima Bakare,2022,March,High,1,0,1,0,0,0,0.625,0.16330142737011283,0.49856346310031746,0.40054639175446916
545,Chibuzo,Mohammed,21.0,M,Data Analysis,2022-03-18,655500.0,Chibuzo Mohammed,2022,March,High,1,0,1,0,0,0,0.375,0.17965629823494408,-0.6210176470196936,0.4848067783931993
546,Oluchi,Iwuoha,22.0,F,Machine Learning,2022-03-18,721050.0,Oluchi Iwuoha,2022,March,High,0,0,0,0,1,0,0.5,0.1976466287410556,-0.061227091959688104,0.5774930622979627
547,Emeka,Anikulapo,19.0,M,Data Analysis,2022-03-18,793155.0,Emeka Anikulapo,2022,March,High,1,0,1,0,0,0,0.125,0.21743599229777824,-1.7405987571397048,0.6794479745932025
548,Hadiza,Ogundipe,18.0,M,Data Analysis,2022-03-18,872470.0,Hadiza Ogundipe,2022,March,High,1,0,1,0,0,0,0.0,0.23920415498415862,-2.30038931219971,0.791597671128768
549,Nneka,Nwachukwu,22.0,M,Web Development,2022-03-18,959717.0,Nneka Nwachukwu,2022,March,High,1,0,0,0,0,1,0.5,0.2631492711651916,-0.061227091959688104,0.9149630443070884
550,Adeola,Okoro,22.0,M,Web Development,2022-03-18,1055689.0,Adeola Okoro,2022,March,High,1,0,0,0,0,1,0.5,0.28948898129993655,-0.061227091959688104,1.0506653789967597
551,Idris,Ibrahim,23.0,M,Web Development,2022-03-18,1161258.0,Idris Ibrahim,2022,March,High,1,0,0,0,0,1,0.625,0.3184626075577502,0.49856346310031746,1.1999376643597188
552,Chinyere,Adeyemi,23.0,M,Data Science,2022-03-18,1277383.0,Chinyere Adeyemi,2022,March,High,1,0,0,1,0,0,0.625,0.35033334943451905,0.49856346310031746,1.364135905678417
553,Umar,Abdullahi,22.0,M,Web Development,2022-03-18,1405122.0,Umar Abdullahi,2022,March,High,1,0,0,0,0,1,0.5,0.3853915771770084,-0.061227091959688104,1.54475609209658
554,Nkem,Adebayo,20.0,M,Web Development,2022-03-18,1545634.0,Nkem Adebayo,2022,March,High,1,0,0,0,0,1,0.25,0.4239553806869205,-1.1808082020796993,1.743437024576002
555,Ayodele,Osagie,22.0,F,Machine Learning,2022-03-18,1700197.0,Ayodele Osagie,2022,March,High,0,0,0,0,1,0,0.5,0.466375509657418,-0.061227091959688104,1.961985767507687
556,Chiwendu,Ekpo,21.0,M,Machine Learning,2022-03-18,1870217.0,Chiwendu Ekpo,2022,March,High,1,0,0,0,1,0,0.375,0.5130378436413856,-0.6210176470196936,2.2023903745174183
557,Fatima,Azikiwe,22.0,F,Data Analysis,2022-03-18,2057239.0,Fatima Azikiwe,2022,March,High,0,0,1,0,0,0,0.5,0.56436641102375,-0.061227091959688104,2.4668354422281227
558,Chukwudi,Ekeinde,19.0,M,Cyber Security,2022-03-18,2262963.0,Chukwudi Ekeinde,2022,March,High,1,1,0,0,0,0,0.125,0.6208277802539449,-1.7405987571397048,2.757724733914218
559,Kemi,Uche,18.0,M,Cyber Security,2022-03-18,2489259.0,Kemi Uche,2022,March,High,1,1,0,0,0,0,0.0,0.6829351766263478,-2.30038931219971,3.077702389177564
560,Jide,Bakare,18.0,M,Cyber Security,2022-03-18,2738185.0,Jide Bakare,2022,March,High,1,1,0,0,0,0,0.0,0.7512534224168026,-2.30038931219971,3.4296783755586038
561,Adaobi,Iwuoha,19.0,M,Cyber Security,2022-03-18,3012003.0,Adaobi Iwuoha,2022,March,High,1,1,0,0,0,0,0.125,0.8264033281150854,-1.7405987571397048,3.8168511121907094
562,Suleiman,Mohammed,23.0,M,Cyber Security,2022-03-18,3313204.0,Suleiman Mohammed,2022,March,High,1,1,0,0,0,0,0.625,0.9090685537256313,0.49856346310031746,4.242742819260101
563,Ifeoluwa,Anikulapo,23.0,M,Cyber Security,2022-03-18,3644524.0,Ifeoluwa Anikulapo,2022,March,High,1,1,0,0,0,0,0.625,1.0,0.49856346310031746,4.711222141660197
217,Chukwudi,Unknown,22.0,M,Data Science,2022-05-15,1200.0,Chukwudi Unknown,2022,May,Low,1,0,0,1,0,0,0.5,8.23356087236224e-05,-0.061227091959688104,-0.44035928657837553
218,Ngozi,Eze,24.0,F,Machine Learning,2022-03-18,1400.0,Ngozi Eze,2022,March,Medium,0,0,0,0,1,0,0.75,0.0001372260145393707,1.058354018160323,-0.4400764908990322
219,Ifeoluwa,Adewale,21.0,M,Data Science,2022-06-25,900.0,Ifeoluwa Adewale,2022,June,Low,1,0,0,1,0,0,0.375,0.0,-0.6210176470196936,-0.44078348009739043
220,Ada,Adeleke,23.0,F,Data Science,2022-03-18,1100.0,Ada Adeleke,2022,March,Low,0,0,0,1,0,0,0.625,5.489040581574823e-05,0.49856346310031746,-0.44050068441804713
221,Kehinde,Bakare,20.0,M,Web Development,2021-09-10,950.0,Kehinde Bakare,2021,September,Low,1,0,0,0,0,1,0.25,1.372260145393703e-05,-1.1808082020796993,-0.44071278117755464
222,Amara,Okonkwo,25.0,F,Machine Learning,2022-04-22,1300.0,Amara Okonkwo,2022,April,Medium,0,0,0,0,1,0,0.875,0.00010978081163149652,1.6181445732203286,-0.4402178887387039
223,Uche,Adebayo,19.0,M,Data Science,2022-07-02,1000.0,Uche Adebayo,2022,July,Low,1,0,0,1,0,0,0.125,2.7445202907874116e-05,-1.7405987571397048,-0.4406420822577188
224,Nneka,Nwachukwu,22.0,F,Machine Learning,2022-08-15,1200.0,Nneka Nwachukwu,2022,August,Low,0,0,0,0,1,0,0.5,8.23356087236224e-05,-0.061227091959688104,-0.44035928657837553
225,Emeka,Okafor,24.0,M,Data Science,2022-01-10,950.0,Emeka Okafor,2022,January,Low,1,0,0,1,0,0,0.75,1.372260145393703e-05,1.058354018160323,-0.44071278117755464
226,Chinyere,Nwosu,26.0,F,Data Science,2023-02-28,1150.0,Chinyere Nwosu,2023,February,Low,0,0,0,1,0,0,1.0,6.861300726968532e-05,2.177935128280334,-0.44042998549821133
227,Obinna,Onyekachi,20.0,M,Web Development,2022-11-14,1050.0,Obinna Onyekachi,2022,November,Low,1,0,0,0,0,1,0.25,4.11678043618112e-05,-1.1808082020796993,-0.440571383337883
228,Chinwe,Okoye,23.0,F,Machine Learning,2022-09-20,1350.0,Chinwe Okoye,2022,September,Medium,0,0,0,0,1,0,0.625,0.0001235034130854336,0.49856346310031746,-0.440147189818868
229,Ugochukwu,Okafor,21.0,M,Data Science,2022-07-05,920.0,Ugochukwu Okafor,2022,July,Low,1,0,0,1,0,0,0.375,5.489040581574791e-06,-0.6210176470196936,-0.4407552005294561
230,Ijeoma,Uzoma,22.0,F,Data Science,2022-03-18,1120.0,Ijeoma Uzoma,2022,March,Low,0,0,0,1,0,0,0.5,6.0379446397323077e-05,-0.061227091959688104,-0.4404724048501128
231,Obi,Okonkwo,24.0,M,Web Development,2021-10-30,970.0,Obi Okonkwo,2021,October,Low,1,0,0,0,0,1,0.75,1.9211642035511876e-05,1.058354018160323,-0.4406845016096203
232,Amina,Adekunle,21.0,F,Machine Learning,2022-08-12,1270.0,Amina Adekunle,2022,August,Medium,0,0,0,0,1,0,0.375,0.00010154725075913428,-0.6210176470196936,-0.44026030809060535
234,Ibrahim,Okafor,22.0,M,Data Science,2022-02-03,950.0,Ibrahim Okafor,2022,February,Low,1,0,0,1,0,0,0.5,1.372260145393703e-05,-0.061227091959688104,-0.44071278117755464
235,Zainab,Abiodun,23.0,F,Web Development,2022-07-21,1050.0,Zainab Abiodun,2022,July,Low,0,0,0,0,0,1,0.625,4.11678043618112e-05,0.49856346310031746,-0.440571383337883
236,Nasiru,Adebayo,24.0,M,Data Science,2022-05-09,1120.0,Nasiru Adebayo,2022,May,Low,1,0,0,1,0,0,0.75,6.0379446397323077e-05,1.058354018160323,-0.4404724048501128
237,Aisha,Okonkwo,25.0,F,Machine Learning,2023-01-15,1300.0,Aisha Okonkwo,2023,January,Medium,0,0,0,0,1,0,0.875,0.00010978081163149652,1.6181445732203286,-0.4402178887387039
